Dim1	Dim2	id	tsne	cancer
-14.8848146675932	28.5726044809411	TCGA-ZF-AA53-01A-11R-A39I-07	indegree	TCGA-BLCA
-5.9906773133215	33.7537866263433	TCGA-KQ-A41O-01A-12R-A352-07	indegree	TCGA-BLCA
-10.7505284568329	-29.0254652732334	TCGA-E7-A519-01A-11R-A26T-07	indegree	TCGA-BLCA
-14.0894730162167	30.0574946242633	TCGA-XF-A9T6-01A-11R-A42T-07	indegree	TCGA-BLCA
-2.53629622026521	32.0768401864502	TCGA-CU-A3YL-01A-11R-A22U-07	indegree	TCGA-BLCA
-17.5289612001392	23.087110720153	TCGA-FD-A3SO-01A-11R-A22U-07	indegree	TCGA-BLCA
-11.9712738217599	7.39173875809967	TCGA-K4-A5RH-01A-11R-A30C-07	indegree	TCGA-BLCA
-4.80431365476123	-7.43284724270565	TCGA-CU-A3KJ-01A-11R-A21D-07	indegree	TCGA-BLCA
-16.1822746466732	12.4701371722556	TCGA-C4-A0F7-01A-11R-A084-07	indegree	TCGA-BLCA
7.64561806974328	4.17941916934528	TCGA-XF-AAN3-01A-11R-A42T-07	indegree	TCGA-BLCA
-7.41713988674734	28.1684557953097	TCGA-DK-A6B1-01A-12R-A30C-07	indegree	TCGA-BLCA
-12.7675153140479	5.9812376148329	TCGA-ZF-AA54-01A-11R-A39I-07	indegree	TCGA-BLCA
-7.97821003673592	28.2920284048145	TCGA-E7-A3X6-01A-12R-A22U-07	indegree	TCGA-BLCA
8.24971887595238	5.25806745958054	TCGA-K4-AAQO-01A-11R-A38B-07	indegree	TCGA-BLCA
-5.29053604146917	31.4879108342722	TCGA-ZF-A9R2-01A-11R-A39I-07	indegree	TCGA-BLCA
-9.52905449927135	33.1492373833211	TCGA-XF-A8HF-01A-11R-A36F-07	indegree	TCGA-BLCA
-16.6202164294038	24.0786721964097	TCGA-XF-AAN2-01A-11R-A42T-07	indegree	TCGA-BLCA
-6.91719301025763	34.5900557259167	TCGA-KQ-A41N-01A-11R-A33J-07	indegree	TCGA-BLCA
-8.65552258416849	32.8538140647793	TCGA-YC-A89H-01A-11R-A36F-07	indegree	TCGA-BLCA
-14.2530897733942	30.17466732973	TCGA-UY-A8OB-01A-12R-A42T-07	indegree	TCGA-BLCA
