cancer	pval	type	m	k	datatype
MESO	0.984012897461933	OS	run without warning	k_3	indegree
MESO	0.185456727378265	PFI	run without warning	k_2	indegree
MESO	0.662465002730066	OS	run without warning	k_2	indegree
OV	0.861828255136659	PFI	run without warning	k_3	expression
OV	0.156114249069965	OS	run without warning	k_3	expression
OV	0.631457372871594	PFI	run without warning	k_2	expression
OV	0.025813371441336	OS	run without warning	k_2	expression
OV	0.940136573680836	PFI	run without warning	k_5	indegree
OV	0.210392217908193	OS	run without warning	k_5	indegree
OV	0.875877309251614	PFI	run without warning	k_3	indegree
OV	0.338447050803598	OS	run without warning	k_3	indegree
OV	0.892512900207363	PFI	run without warning	k_2	indegree
OV	0.0753518264657949	OS	run without warning	k_2	indegree
PAAD	2.99670638543156e-06	PFI	with warning	k_5	expression
PAAD	2.24438433001082e-05	OS	with warning	k_5	expression
PAAD	0.215933250343799	PFI	run without warning	k_2	expression
PAAD	0.212361161412383	OS	run without warning	k_2	expression
PAAD	0.766950937841777	PFI	run without warning	k_3	indegree
PAAD	0.544175218057705	OS	run without warning	k_3	indegree
PAAD	0.800143060866452	PFI	run without warning	k_2	indegree
PAAD	0.888286015037732	OS	run without warning	k_2	indegree
PCPG	0.836776039841085	PFI	run without warning	k_3	expression
PCPG	0.134576504211071	OS	with warning	k_3	expression
PCPG	0.745312819575004	PFI	run without warning	k_2	expression
PCPG	0.012414564633082	OS	with warning	k_2	expression
PCPG	0.385386484052709	PFI	run without warning	k_4	indegree
PCPG	0.734714306559252	OS	run without warning	k_4	indegree
PCPG	0.235933265662175	PFI	run without warning	k_2	indegree
PCPG	0.38757617054149	OS	run without warning	k_2	indegree
PRAD	0.138127885399277	PFI	run without warning	k_4	expression
PRAD	0.209899334610789	OS	with warning	k_4	expression
PRAD	0.702872667733125	PFI	run without warning	k_3	expression
PRAD	0.0563897150922239	OS	run without warning	k_3	expression
PRAD	0.860685148411817	PFI	run without warning	k_2	expression
PRAD	0.297897199399032	OS	run without warning	k_2	expression
PRAD	0.0125201445203892	PFI	run without warning	k_5	indegree
PRAD	0.265919707227683	OS	with warning	k_5	indegree
PRAD	0.013016124548544	PFI	run without warning	k_4	indegree
PRAD	0.0473406376298089	OS	with warning	k_4	indegree
PRAD	0.0663853986584626	PFI	run without warning	k_2	indegree
PRAD	0.0689742740508155	OS	run without warning	k_2	indegree
READ	0.591219181236765	PFI	run without warning	k_3	expression
READ	0.726368294193917	OS	run without warning	k_3	expression
READ	0.306625665219688	PFI	run without warning	k_2	expression
READ	0.840426985342234	OS	run without warning	k_2	expression
READ	0.711421062326055	PFI	run without warning	k_3	indegree
READ	0.344878463563679	OS	run without warning	k_3	indegree
READ	0.196334158044502	PFI	run without warning	k_2	indegree
READ	0.0458168045851669	OS	run without warning	k_2	indegree
SARC	0.841821254124885	PFI	run without warning	k_4	expression
SARC	0.23950444302945	OS	run without warning	k_4	expression
SARC	0.702201756125782	PFI	run without warning	k_2	expression
SARC	0.53998401935771	OS	run without warning	k_2	expression
SARC	0.938116467680929	PFI	run without warning	k_4	indegree
SARC	0.118761337341462	OS	run without warning	k_4	indegree
SARC	0.759608245366575	PFI	run without warning	k_2	indegree
SARC	0.0447257439336863	OS	run without warning	k_2	indegree
SKCM	0.00216015605615666	PFI	run without warning	k_3	expression
SKCM	0.140614081653826	OS	run without warning	k_3	expression
SKCM	0.0104883035550136	PFI	run without warning	k_2	expression
SKCM	0.500059633930735	OS	run without warning	k_2	expression
SKCM	0.192497864789976	PFI	run without warning	k_4	indegree
SKCM	0.835992930959969	OS	run without warning	k_4	indegree
STAD	0.0941312852319056	PFI	run without warning	k_3	expression
STAD	0.11055974960867	OS	run without warning	k_3	expression
STAD	0.0333367861426424	PFI	run without warning	k_2	expression
STAD	0.126234146481225	OS	run without warning	k_2	expression
STAD	0.0545378261129339	PFI	run without warning	k_3	indegree
STAD	0.284109381132287	OS	run without warning	k_3	indegree
STAD	0.0971840554006586	PFI	run without warning	k_2	indegree
STAD	0.0614942493918364	OS	run without warning	k_2	indegree
TGCT	0.192324380090423	PFI	run without warning	k_3	expression
TGCT	0.206002911966715	OS	with warning	k_3	expression
TGCT	0.0745785742538821	PFI	run without warning	k_2	expression
TGCT	0.449482265639878	OS	run without warning	k_2	expression
TGCT	0.0376786228761238	PFI	run without warning	k_4	indegree
TGCT	0.595809951624448	OS	with warning	k_4	indegree
TGCT	0.0275308680307119	PFI	run without warning	k_2	indegree
TGCT	0.702136210477873	OS	run without warning	k_2	indegree
THCA	0.21934499804391	PFI	run without warning	k_4	expression
THCA	0.275685598262954	OS	run without warning	k_4	expression
THCA	0.827074526515632	PFI	run without warning	k_2	expression
THCA	0.469605666433954	OS	run without warning	k_2	expression
THCA	0.626469496237514	PFI	run without warning	k_3	indegree
THCA	0.54158348342371	OS	run without warning	k_3	indegree
THCA	0.244290064871583	PFI	run without warning	k_2	indegree
THCA	0.579875938598761	OS	run without warning	k_2	indegree
THYM	0.624633007576505	PFI	run without warning	k_3	expression
THYM	0.273134004481464	OS	run without warning	k_3	expression
THYM	0.134803611583672	PFI	run without warning	k_2	expression
THYM	0.803608421189379	OS	run without warning	k_2	expression
THYM	0.811001307795353	PFI	run without warning	k_3	indegree
THYM	0.0224350308913575	OS	run without warning	k_3	indegree
THYM	0.399021322442343	PFI	run without warning	k_2	indegree
THYM	0.228201729631289	OS	run without warning	k_2	indegree
UCEC	0.699913857499481	PFI	run without warning	k_2	expression
UCEC	0.816538862613473	OS	run without warning	k_2	expression
UCEC	0.105988789356479	PFI	run without warning	k_3	indegree
UCEC	0.0304236639738467	OS	run without warning	k_3	indegree
UCEC	0.170995827462943	PFI	run without warning	k_2	indegree
UCEC	0.401365183888356	OS	run without warning	k_2	indegree
UCS	0.642304260465613	PFI	run without warning	k_3	expression
UCS	0.976838678966925	OS	run without warning	k_3	expression
UCS	0.972908163963198	PFI	run without warning	k_2	indegree
UCS	0.932148331790862	OS	run without warning	k_2	indegree
UVM	0.143206796178791	PFI	run without warning	k_2	expression
UVM	0.263564667959384	OS	run without warning	k_2	expression
UVM	0.735018091703435	PFI	run without warning	k_3	indegree
UVM	0.978373665490135	OS	run without warning	k_3	indegree
