class	entropy	silhouette	k	cancer	ID
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-N6-A4VE-01A-11R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-N6-A4VD-01A-11R-A28V-07
2	0.371903285314076	0.83063092378609	k_3	UCS	TCGA-N8-A4PQ-01A-11R-A28V-07
1	0.0237370665269117	0.993065596819636	k_3	UCS	TCGA-N9-A4Q7-01A-11R-A28V-07
2	0.0892390466509242	0.980324624168911	k_3	UCS	TCGA-N9-A4Q3-01A-11R-A28V-07
1	0.0551129253067951	0.991176738835152	k_3	UCS	TCGA-N5-A59E-01A-11R-A28V-07
1	0.037964584023048	0.992357934984232	k_3	UCS	TCGA-ND-A4W6-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N6-A4VG-01A-31R-A28V-07
3	0.0892390466509242	0.993558894354648	k_3	UCS	TCGA-N5-A4RO-01A-11R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-N9-A4PZ-01A-22R-A28V-07
1	0	0.993857277795701	k_3	UCS	TCGA-N8-A4PM-01A-11R-A28V-07
1	0.0746705435330021	0.989838079819093	k_3	UCS	TCGA-N7-A4Y0-01A-12R-A28V-07
1	0	0.993857277795701	k_3	UCS	TCGA-N5-A4RF-01A-11R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-N9-A4Q4-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N8-A4PP-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-NA-A5I1-01A-21R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-N6-A4VF-01A-31R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-NA-A4R0-01A-11R-A28V-07
1	0	0.993857277795701	k_3	UCS	TCGA-QN-A5NN-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-NA-A4QY-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N5-A4RN-01A-12R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-N5-A4RA-01A-11R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-N6-A4VC-01A-11R-A28V-07
1	0	0.993857277795701	k_3	UCS	TCGA-N5-A4RJ-01A-11R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-N9-A4Q1-01A-11R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-N5-A4R8-01A-11R-A28V-07
1	0.0237370665269117	0.993065596819636	k_3	UCS	TCGA-N7-A59B-01A-11R-A28V-07
1	0.0746705435330021	0.989838079819093	k_3	UCS	TCGA-N5-A4RV-01A-21R-A28V-07
2	0.0783915198444809	0.982916163488221	k_3	UCS	TCGA-ND-A4WC-01A-21R-A28V-07
3	0.0892390466509242	0.993558894354648	k_3	UCS	TCGA-NG-A4VU-01A-11R-A28V-07
1	0	0.993857277795701	k_3	UCS	TCGA-N5-A4RS-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-NA-A4QV-01A-11R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-N5-A4RD-01A-11R-A28V-07
3	0.0892390466509242	0.993558894354648	k_3	UCS	TCGA-N8-A4PN-01A-11R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-ND-A4WF-01A-11R-A28V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A05A-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BK-A0C9-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A06J-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A051-01A-21R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A05H-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A05U-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A053-01A-21R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A05N-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A05S-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A063-01A-11R-A00V-07
1	0.0672215447583069	0.988591463094596	k_2	UCEC	TCGA-AX-A060-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A05T-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A052-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A062-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A05Y-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A064-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A056-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A06F-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A05J-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A05D-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A05Z-01A-11R-A00V-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A06B-01A-11R-A00V-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0G3-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LJ-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0M7-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GI-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A0K6-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0MI-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GJ-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0MO-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0MC-01A-21R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GX-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0K3-01A-11R-A040-07
2	0.0529150803448477	0.986157665744856	k_2	UCEC	TCGA-A5-A0G9-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-A5-A0GA-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A0LT-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A0K4-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LN-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0JZ-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A0LV-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A0L9-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GM-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A0L8-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AX-A0IW-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LI-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AP-A0LO-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0GN-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-A5-A0GP-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LD-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-A5-A0G5-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-AX-A0J1-01A-11R-A040-07
1	0	0.996484799932207	k_2	UCEC	TCGA-A5-A0GB-01A-11R-A040-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0M9-01A-21R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0M3-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0TD-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0JV-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-A5-A0RA-01A-21R-A104-07
