cancer	pval	type	m	k	datatype
LUSC	0.635210872822442	PFI	run without warning	k_2	indegree
LUSC	0.121993703962119	OS	run without warning	k_2	indegree
MESO	0.165187053141892	PFI	run without warning	k_2	expression
MESO	0.526977038521318	OS	run without warning	k_2	expression
MESO	0.252134930797546	PFI	run without warning	k_3	indegree
MESO	0.730391771408365	OS	run without warning	k_3	indegree
MESO	0.0671394765495625	PFI	run without warning	k_2	indegree
MESO	0.50267401243555	OS	run without warning	k_2	indegree
OV	0.90032395094436	PFI	run without warning	k_3	expression
OV	0.00317632055106159	OS	run without warning	k_3	expression
OV	0.784310807139962	PFI	run without warning	k_2	expression
OV	0.000496888575833188	OS	run without warning	k_2	expression
OV	0.960258353495903	PFI	run without warning	k_5	indegree
OV	0.00974855356902129	OS	run without warning	k_5	indegree
OV	0.907677078849562	PFI	run without warning	k_3	indegree
OV	0.00696075199030976	OS	run without warning	k_3	indegree
OV	0.862390172085092	PFI	run without warning	k_2	indegree
OV	0.00197943906538853	OS	run without warning	k_2	indegree
PAAD	1.51702845442063e-05	PFI	with warning	k_5	expression
PAAD	9.23051795757628e-06	OS	with warning	k_5	expression
PAAD	0.289704301413419	PFI	run without warning	k_2	expression
PAAD	0.0153987210811345	OS	run without warning	k_2	expression
PAAD	0.588043686775041	PFI	run without warning	k_3	indegree
PAAD	0.0384615390921776	OS	run without warning	k_3	indegree
PAAD	0.482941318725999	PFI	run without warning	k_2	indegree
PAAD	0.0307349870307508	OS	run without warning	k_2	indegree
PCPG	0.984232421274277	PFI	run without warning	k_3	expression
PCPG	0.133819150698217	OS	with warning	k_3	expression
PCPG	0.987860840171586	PFI	run without warning	k_2	expression
PCPG	0.0242354194040124	OS	with warning	k_2	expression
PCPG	0.673557014557442	PFI	run without warning	k_4	indegree
PCPG	0.466660109720838	OS	run without warning	k_4	indegree
PCPG	0.702095491434494	PFI	run without warning	k_2	indegree
PCPG	0.255784248068639	OS	run without warning	k_2	indegree
PRAD	0.134797147538292	PFI	run without warning	k_4	expression
PRAD	0.215664274463249	OS	with warning	k_4	expression
PRAD	0.512401121857502	PFI	run without warning	k_3	expression
PRAD	0.104321580606812	OS	run without warning	k_3	expression
PRAD	0.396936882429471	PFI	run without warning	k_2	expression
PRAD	0.277714801812	OS	run without warning	k_2	expression
PRAD	0.0156992167993118	PFI	run without warning	k_5	indegree
PRAD	0.304511463105639	OS	with warning	k_5	indegree
PRAD	0.0160165922762378	PFI	run without warning	k_4	indegree
PRAD	0.0745992313642416	OS	with warning	k_4	indegree
PRAD	0.0827112138775781	PFI	run without warning	k_2	indegree
PRAD	0.130087683366392	OS	run without warning	k_2	indegree
READ	0.618764698199439	PFI	run without warning	k_3	expression
READ	0.00537617887378188	OS	run without warning	k_3	expression
READ	0.568730837808204	PFI	run without warning	k_2	expression
READ	0.00374186535794053	OS	run without warning	k_2	expression
